time,S_I,S_S,X_I,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2,X_INORG
0.028779,0.000000,-55.456055,0.000000,-3380.397949,1687.296143,51.929001,132.882477,0.000000,262.871429,-402.663940,3.647522,-68.423645,-0.047538,47.022312,0.000000
0.029029,0.000000,-55.658691,0.000000,-3371.306641,1681.242310,51.794548,132.903473,0.000000,262.365021,-401.377808,3.637619,-68.616791,-0.047410,46.976593,0.000000
0.029279,0.000000,-55.865234,0.000000,-3362.164062,1675.156250,51.657814,132.924454,0.000000,261.850006,-400.079651,3.625397,-68.807236,-0.047281,46.929962,0.000000
0.029530,0.000000,-56.073242,0.000000,-3352.970459,1669.037598,51.518738,132.945389,0.000000,261.326141,-398.769226,3.611526,-68.995392,-0.047150,46.882412,0.000000
0.029780,0.000000,-56.280273,0.000000,-3343.727051,1662.885132,51.377281,132.966278,0.000000,260.793243,-397.446594,3.596115,-69.181244,-0.047017,46.833950,0.000000
0.030030,0.000000,-56.487305,0.000000,-3334.432861,1656.698853,51.233341,132.987076,0.000000,260.250916,-396.111237,3.579071,-69.364670,-0.046883,46.784557,0.000000
0.030280,0.000000,-56.693848,0.000000,-3325.088379,1650.478882,51.086861,133.007843,0.000000,259.698883,-394.763031,3.560547,-69.545761,-0.046747,46.734257,0.000000
0.030531,0.000000,-56.901855,0.000000,-3315.694092,1644.226074,50.937759,133.028595,0.000000,259.136749,-393.401794,3.540665,-69.724533,-0.046610,46.683090,0.000000
0.030781,0.000000,-57.102539,0.000000,-3306.242676,1637.933838,50.785988,133.048767,0.000000,258.564606,-392.027344,3.519577,-69.900482,-0.046471,46.630829,0.000000
0.031031,0.000000,-57.307129,0.000000,-3296.745117,1631.611206,50.631458,133.069199,0.000000,257.981689,-390.639282,3.496948,-70.074142,-0.046330,46.577801,0.000000
0.031281,0.000000,-57.511230,0.000000,-3287.197021,1625.254883,50.474087,133.089600,0.000000,257.387817,-389.237488,3.473099,-70.245346,-0.046188,46.523891,0.000000
0.031532,0.000000,-57.713379,0.000000,-3277.598145,1618.863770,50.313782,133.109909,0.000000,256.782593,-387.821533,3.447968,-70.413986,-0.046043,46.469082,0.000000
0.031782,0.000000,-57.913574,0.000000,-3267.949219,1612.437866,50.150490,133.130142,0.000000,256.165802,-386.391174,3.421677,-70.580109,-0.045897,46.413372,0.000000
0.032032,0.000000,-58.114746,0.000000,-3258.249512,1605.978394,49.984123,133.150360,0.000000,255.537079,-384.946259,3.394165,-70.743576,-0.045749,46.356815,0.000000
0.032282,0.000000,-58.310059,0.000000,-3248.495605,1599.480713,49.814392,133.170212,0.000000,254.895035,-383.484833,3.366074,-70.905167,-0.045599,46.299305,0.000000
0.032533,0.000000,-58.505371,0.000000,-3238.693848,1592.950806,49.641479,133.190186,0.000000,254.240692,-382.008881,3.336502,-71.063644,-0.045446,46.240967,0.000000
0.032783,0.000000,-58.700195,0.000000,-3228.841309,1586.386597,49.465179,133.210083,0.000000,253.573059,-380.517029,3.305908,-71.219543,-0.045292,46.181767,0.000000
0.033033,0.000000,-58.890137,0.000000,-3218.939453,1579.786377,49.285378,133.229904,0.000000,252.891724,-379.008911,3.274323,-71.372818,-0.045136,46.121693,0.000000
0.033283,0.000000,-59.079590,0.000000,-3208.987061,1573.152344,49.101994,133.249680,0.000000,252.196289,-377.484222,3.241745,-71.523438,-0.044977,46.060772,0.000000
0.033534,0.000000,-59.264648,0.000000,-3198.985840,1566.482666,48.914886,133.269394,0.000000,251.486191,-375.942322,3.208176,-71.671371,-0.044816,45.998989,0.000000
0.033784,0.000000,-59.451660,0.000000,-3188.926270,1559.777100,48.723839,133.288773,0.000000,250.760345,-374.382446,3.173843,-71.816406,-0.044653,45.936272,0.000000
0.034034,0.000000,-59.632812,0.000000,-3178.821289,1553.036987,48.528923,133.308228,0.000000,250.019302,-372.804932,3.138580,-71.958878,-0.044487,45.872761,0.000000
0.034284,0.000000,-59.812012,0.000000,-3168.667480,1546.262329,48.329910,133.327621,0.000000,249.262024,-371.208832,3.102448,-72.098602,-0.044319,45.808392,0.000000
0.034535,0.000000,-59.985840,0.000000,-3158.462402,1539.450806,48.126659,133.346924,0.000000,248.487900,-369.593445,3.065475,-72.235550,-0.044149,45.743153,0.000000
0.034785,0.000000,-60.158691,0.000000,-3148.207031,1532.604858,47.919060,133.366165,0.000000,247.696472,-367.958557,3.027725,-72.369751,-0.043975,45.677074,0.000000
0.035035,0.000000,-60.325684,0.000000,-3137.901855,1525.722412,47.706963,133.385345,0.000000,246.887115,-366.303406,2.989197,-72.501144,-0.043799,45.610153,0.000000
0.035285,0.000000,-60.489258,0.000000,-3127.546387,1518.803833,47.490211,133.404419,0.000000,246.059189,-364.627197,2.949951,-72.629822,-0.043620,45.542362,0.000000
0.035536,0.000000,-60.651367,0.000000,-3117.140625,1511.852539,47.268726,133.423233,0.000000,245.212494,-362.930603,2.909332,-72.754776,-0.043439,45.473728,0.000000
0.035786,0.000000,-60.807617,0.000000,-3106.685547,1504.863281,47.042221,133.442123,0.000000,244.345566,-361.211243,2.868393,-72.877396,-0.043254,45.404263,0.000000
0.036036,0.000000,-60.959473,0.000000,-3096.181641,1497.839111,46.810589,133.460907,0.000000,243.458069,-359.469238,2.826752,-72.997101,-0.043066,45.333958,0.000000
0.036286,0.000000,-61.106934,0.000000,-3085.627686,1490.778687,46.573669,133.479630,0.000000,242.549393,-357.703796,2.784332,-73.113831,-0.042875,45.262802,0.000000
0.036537,0.000000,-61.248047,0.000000,-3075.024902,1483.681763,46.331264,133.498306,0.000000,241.618668,-355.914093,2.741211,-73.227585,-0.042681,45.190804,0.000000
